Symbol,Extension,
USDCAD,=X,
EURCAD,=X,
GBPCAD,=X,
CADCHF,=X,
AUDCAD,=X,
NZDCAD,=X,
EURUSD,=X,
USDJPY,=X,
GBPUSD,=X,
USDCHF,=X,
NZDUSD,=X,
EURNZD,=X,
EURCHF,=X,
EURAUD,=X,
EURGBP,=X,
GBPNZD,=X,
GBPCHF,=X,
GBPAUD,=X,
NZDCHF,=X,
AUDNZD,=X,
AUDCHF,=X,
AUDUSD,=X,
CADJPY,=X,
EURJPY,=X,
GBPJPY,=X,
CHFJPY,=X,
AUDJPY,=X,
